,drug,HC03_VC51,HC03_VC52
0,high,HC03_VC51_1,HC03_VC52_1
1,high,HC03_VC51_3,HC03_VC52_1
2,high,HC03_VC51_2,HC03_VC52_4
3,high,HC03_VC51_2,HC03_VC52_3
4,high,HC03_VC51_3,HC03_VC52_2
5,high,HC03_VC51_1,HC03_VC52_1
6,high,HC03_VC51_3,HC03_VC52_1
7,high,HC03_VC51_2,HC03_VC52_1
8,high,HC03_VC51_3,HC03_VC52_1
9,high,HC03_VC51_4,HC03_VC52_1
10,high,HC03_VC51_4,HC03_VC52_4
11,high,HC03_VC51_2,HC03_VC52_1
12,high,HC03_VC51_2,HC03_VC52_2
13,high,HC03_VC51_2,HC03_VC52_2
14,high,HC03_VC51_3,HC03_VC52_1
15,high,HC03_VC51_1,HC03_VC52_1
16,high,HC03_VC51_2,HC03_VC52_4
17,high,HC03_VC51_2,HC03_VC52_4
18,high,HC03_VC51_2,HC03_VC52_2
19,high,HC03_VC51_1,HC03_VC52_1
20,high,HC03_VC51_3,HC03_VC52_1
21,high,HC03_VC51_3,HC03_VC52_2
22,high,HC03_VC51_3,HC03_VC52_4
23,high,HC03_VC51_2,HC03_VC52_2
24,high,HC03_VC51_2,HC03_VC52_3
25,high,HC03_VC51_4,HC03_VC52_4
26,high,HC03_VC51_3,HC03_VC52_2
27,high,HC03_VC51_3,HC03_VC52_1
28,high,HC03_VC51_4,HC03_VC52_2
29,high,HC03_VC51_4,HC03_VC52_2
30,high,HC03_VC51_2,HC03_VC52_2
31,high,HC03_VC51_1,HC03_VC52_2
32,high,HC03_VC51_2,HC03_VC52_1
33,high,HC03_VC51_3,HC03_VC52_2
34,high,HC03_VC51_1,HC03_VC52_3
35,high,HC03_VC51_4,HC03_VC52_1
36,high,HC03_VC51_4,HC03_VC52_1
37,high,HC03_VC51_3,HC03_VC52_4
38,high,HC03_VC51_4,HC03_VC52_4
39,high,HC03_VC51_1,HC03_VC52_1
40,high,HC03_VC51_2,HC03_VC52_3
41,high,HC03_VC51_2,HC03_VC52_3
42,high,HC03_VC51_3,HC03_VC52_4
43,high,HC03_VC51_3,HC03_VC52_3
44,high,HC03_VC51_4,HC03_VC52_4
45,high,HC03_VC51_4,HC03_VC52_1
46,high,HC03_VC51_2,HC03_VC52_2
47,high,HC03_VC51_4,HC03_VC52_3
48,high,HC03_VC51_2,HC03_VC52_3
49,high,HC03_VC51_2,HC03_VC52_4
50,high,HC03_VC51_3,HC03_VC52_4
51,high,HC03_VC51_4,HC03_VC52_1
52,high,HC03_VC51_3,HC03_VC52_4
53,high,HC03_VC51_2,HC03_VC52_4
54,high,HC03_VC51_2,HC03_VC52_2
55,high,HC03_VC51_2,HC03_VC52_1
56,high,HC03_VC51_2,HC03_VC52_4
57,high,HC03_VC51_1,HC03_VC52_4
58,high,HC03_VC51_1,HC03_VC52_2
59,high,HC03_VC51_3,HC03_VC52_3
60,high,HC03_VC51_1,HC03_VC52_2
61,high,HC03_VC51_1,HC03_VC52_4
62,high,HC03_VC51_1,HC03_VC52_1
63,high,HC03_VC51_2,HC03_VC52_4
64,high,HC03_VC51_3,HC03_VC52_4
65,high,HC03_VC51_3,HC03_VC52_2
66,high,HC03_VC51_3,HC03_VC52_1
67,high,HC03_VC51_1,HC03_VC52_1
68,high,HC03_VC51_1,HC03_VC52_1
69,high,HC03_VC51_4,HC03_VC52_1
70,high,HC03_VC51_3,HC03_VC52_1
71,high,HC03_VC51_2,HC03_VC52_3
