,drug,HC03_VC144,HC03_VC146,HC03_VC147,HC03_VC148,HC03_VC150,HC03_VC151,HC03_VC152
0,high,HC03_VC144_1,HC03_VC146_1,HC03_VC147_1,HC03_VC148_4,HC03_VC150_1,HC03_VC151_2,HC03_VC152_3
1,high,HC03_VC144_4,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
2,high,HC03_VC144_3,HC03_VC146_2,HC03_VC147_2,HC03_VC148_3,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
3,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_2,HC03_VC148_3,HC03_VC150_4,HC03_VC151_1,HC03_VC152_4
4,high,HC03_VC144_4,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_1,HC03_VC152_4
5,high,HC03_VC144_1,HC03_VC146_1,HC03_VC147_2,HC03_VC148_3,HC03_VC150_1,HC03_VC151_2,HC03_VC152_3
6,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_4,HC03_VC152_1
7,high,HC03_VC144_3,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_1,HC03_VC152_4
8,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
9,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_1,HC03_VC152_4
10,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_2,HC03_VC152_3
11,high,HC03_VC144_3,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_1,HC03_VC152_4
12,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_2,HC03_VC148_3,HC03_VC150_2,HC03_VC151_3,HC03_VC152_2
13,high,HC03_VC144_3,HC03_VC146_3,HC03_VC147_1,HC03_VC148_4,HC03_VC150_3,HC03_VC151_3,HC03_VC152_2
14,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_3,HC03_VC148_2,HC03_VC150_2,HC03_VC151_1,HC03_VC152_4
15,high,HC03_VC144_1,HC03_VC146_1,HC03_VC147_2,HC03_VC148_3,HC03_VC150_1,HC03_VC151_2,HC03_VC152_3
16,high,HC03_VC144_3,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_3,HC03_VC152_2
17,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_1,HC03_VC148_4,HC03_VC150_2,HC03_VC151_1,HC03_VC152_4
18,high,HC03_VC144_4,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_1,HC03_VC152_4
19,high,HC03_VC144_1,HC03_VC146_1,HC03_VC147_2,HC03_VC148_3,HC03_VC150_1,HC03_VC151_1,HC03_VC152_4
20,high,HC03_VC144_1,HC03_VC146_2,HC03_VC147_2,HC03_VC148_3,HC03_VC150_1,HC03_VC151_1,HC03_VC152_4
21,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_3,HC03_VC152_2
22,high,HC03_VC144_4,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
23,high,HC03_VC144_4,HC03_VC146_3,HC03_VC147_3,HC03_VC148_2,HC03_VC150_4,HC03_VC151_3,HC03_VC152_2
24,high,HC03_VC144_3,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_4,HC03_VC152_1
25,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
26,high,HC03_VC144_3,HC03_VC146_2,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_2,HC03_VC152_3
27,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_3,HC03_VC148_1,HC03_VC150_2,HC03_VC151_2,HC03_VC152_3
28,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_1,HC03_VC152_4
29,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
30,high,HC03_VC144_2,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_2,HC03_VC151_3,HC03_VC152_2
31,high,HC03_VC144_2,HC03_VC146_1,HC03_VC147_1,HC03_VC148_4,HC03_VC150_2,HC03_VC151_4,HC03_VC152_1
32,high,HC03_VC144_3,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_3,HC03_VC152_2
33,high,HC03_VC144_4,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_2,HC03_VC152_3
34,high,HC03_VC144_1,HC03_VC146_1,HC03_VC147_2,HC03_VC148_3,HC03_VC150_1,HC03_VC151_4,HC03_VC152_1
35,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_2,HC03_VC152_3
36,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_4,HC03_VC150_4,HC03_VC151_4,HC03_VC152_4
37,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_4,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
38,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_1,HC03_VC148_4,HC03_VC150_4,HC03_VC151_2,HC03_VC152_3
39,high,HC03_VC144_1,HC03_VC146_1,HC03_VC147_1,HC03_VC148_4,HC03_VC150_1,HC03_VC151_1,HC03_VC152_4
40,high,HC03_VC144_2,HC03_VC146_1,HC03_VC147_1,HC03_VC148_4,HC03_VC150_2,HC03_VC151_3,HC03_VC152_2
41,high,HC03_VC144_2,HC03_VC146_3,HC03_VC147_1,HC03_VC148_4,HC03_VC150_2,HC03_VC151_4,HC03_VC152_1
42,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_1,HC03_VC152_4
43,high,HC03_VC144_3,HC03_VC146_3,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_1,HC03_VC152_4
44,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_2,HC03_VC148_3,HC03_VC150_2,HC03_VC151_3,HC03_VC152_2
45,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_1,HC03_VC148_4,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
46,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_1,HC03_VC148_4,HC03_VC150_2,HC03_VC151_2,HC03_VC152_3
47,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_1,HC03_VC152_4
48,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_3,HC03_VC148_2,HC03_VC150_2,HC03_VC151_1,HC03_VC152_4
49,high,HC03_VC144_1,HC03_VC146_1,HC03_VC147_2,HC03_VC148_3,HC03_VC150_1,HC03_VC151_2,HC03_VC152_3
50,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_4,HC03_VC152_1
51,high,HC03_VC144_3,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_3,HC03_VC151_1,HC03_VC152_4
52,high,HC03_VC144_4,HC03_VC146_4,HC03_VC147_3,HC03_VC148_1,HC03_VC150_4,HC03_VC151_4,HC03_VC152_1
53,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_3,HC03_VC148_2,HC03_VC150_2,HC03_VC151_2,HC03_VC152_3
54,high,HC03_VC144_1,HC03_VC146_2,HC03_VC147_2,HC03_VC148_3,HC03_VC150_1,HC03_VC151_1,HC03_VC152_4
55,high,HC03_VC144_2,HC03_VC146_2,HC03_VC147_2,HC03_VC148_3,HC03_VC150_2,HC03_VC151_3,HC03_VC152_2
56,high,HC03_VC144_3,HC03_VC146_3,HC03_VC147_1,HC03_VC148_4,HC03_VC150_3,HC03_VC151_2,HC03_VC152_3
