,drug,HC03_VC128,HC03_VC129,HC03_VC130,HC03_VC131,HC03_VC132,HC03_VC133,HC03_VC134
0,high,HC03_VC128_1,HC03_VC129_4,HC03_VC130_4,HC03_VC131_3,HC03_VC132_3,HC03_VC133_1,HC03_VC134_1
1,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_3,HC03_VC134_4
2,high,HC03_VC128_2,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_2,HC03_VC134_4
3,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_2,HC03_VC132_3,HC03_VC133_4,HC03_VC134_4
4,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_2,HC03_VC134_4
5,high,HC03_VC128_1,HC03_VC129_4,HC03_VC130_4,HC03_VC131_3,HC03_VC132_2,HC03_VC133_2,HC03_VC134_1
6,high,HC03_VC128_3,HC03_VC129_2,HC03_VC130_2,HC03_VC131_2,HC03_VC132_3,HC03_VC133_4,HC03_VC134_3
7,high,HC03_VC128_2,HC03_VC129_1,HC03_VC130_1,HC03_VC131_4,HC03_VC132_1,HC03_VC133_3,HC03_VC134_4
8,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_4,HC03_VC132_1,HC03_VC133_3,HC03_VC134_3
9,high,HC03_VC128_4,HC03_VC129_3,HC03_VC130_3,HC03_VC131_3,HC03_VC132_3,HC03_VC133_1,HC03_VC134_2
10,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_4,HC03_VC132_1,HC03_VC133_4,HC03_VC134_4
11,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_3,HC03_VC133_4,HC03_VC134_3
12,high,HC03_VC128_2,HC03_VC129_3,HC03_VC130_3,HC03_VC131_3,HC03_VC132_2,HC03_VC133_2,HC03_VC134_2
13,high,HC03_VC128_3,HC03_VC129_2,HC03_VC130_2,HC03_VC131_3,HC03_VC132_2,HC03_VC133_2,HC03_VC134_3
14,high,HC03_VC128_3,HC03_VC129_4,HC03_VC130_4,HC03_VC131_2,HC03_VC132_3,HC03_VC133_2,HC03_VC134_1
15,high,HC03_VC128_1,HC03_VC129_4,HC03_VC130_4,HC03_VC131_3,HC03_VC132_2,HC03_VC133_1,HC03_VC134_1
16,high,HC03_VC128_2,HC03_VC129_2,HC03_VC130_2,HC03_VC131_2,HC03_VC132_3,HC03_VC133_3,HC03_VC134_3
17,high,HC03_VC128_2,HC03_VC129_3,HC03_VC130_3,HC03_VC131_1,HC03_VC132_4,HC03_VC133_3,HC03_VC134_2
18,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_3,HC03_VC134_4
19,high,HC03_VC128_1,HC03_VC129_4,HC03_VC130_4,HC03_VC131_4,HC03_VC132_2,HC03_VC133_1,HC03_VC134_1
20,high,HC03_VC128_3,HC03_VC129_4,HC03_VC130_4,HC03_VC131_4,HC03_VC132_1,HC03_VC133_1,HC03_VC134_1
21,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_3,HC03_VC132_2,HC03_VC133_3,HC03_VC134_3
22,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_2,HC03_VC132_2,HC03_VC133_3,HC03_VC134_4
23,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_2,HC03_VC132_3,HC03_VC133_3,HC03_VC134_4
24,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_3,HC03_VC132_2,HC03_VC133_3,HC03_VC134_4
25,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_3,HC03_VC132_2,HC03_VC133_2,HC03_VC134_4
26,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_3,HC03_VC132_2,HC03_VC133_2,HC03_VC134_4
27,high,HC03_VC128_3,HC03_VC129_3,HC03_VC130_3,HC03_VC131_2,HC03_VC132_3,HC03_VC133_2,HC03_VC134_2
28,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_2,HC03_VC134_4
29,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_4,HC03_VC134_4
30,high,HC03_VC128_2,HC03_VC129_2,HC03_VC130_2,HC03_VC131_3,HC03_VC132_2,HC03_VC133_4,HC03_VC134_3
31,high,HC03_VC128_1,HC03_VC129_2,HC03_VC130_2,HC03_VC131_1,HC03_VC132_4,HC03_VC133_1,HC03_VC134_3
32,high,HC03_VC128_2,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_3,HC03_VC134_4
33,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_3,HC03_VC134_4
34,high,HC03_VC128_1,HC03_VC129_4,HC03_VC130_4,HC03_VC131_2,HC03_VC132_3,HC03_VC133_2,HC03_VC134_1
35,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_3,HC03_VC134_4
36,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_4,HC03_VC134_4
37,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_4,HC03_VC134_4
38,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_3,HC03_VC133_3,HC03_VC134_4
39,high,HC03_VC128_1,HC03_VC129_4,HC03_VC130_4,HC03_VC131_3,HC03_VC132_2,HC03_VC133_2,HC03_VC134_1
40,high,HC03_VC128_2,HC03_VC129_4,HC03_VC130_4,HC03_VC131_4,HC03_VC132_1,HC03_VC133_1,HC03_VC134_1
41,high,HC03_VC128_2,HC03_VC129_3,HC03_VC130_2,HC03_VC131_4,HC03_VC132_1,HC03_VC133_3,HC03_VC134_2
42,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_3,HC03_VC133_4,HC03_VC134_4
43,high,HC03_VC128_3,HC03_VC129_2,HC03_VC130_2,HC03_VC131_2,HC03_VC132_2,HC03_VC133_3,HC03_VC134_3
44,high,HC03_VC128_3,HC03_VC129_4,HC03_VC130_4,HC03_VC131_4,HC03_VC132_1,HC03_VC133_1,HC03_VC134_1
45,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_4,HC03_VC132_1,HC03_VC133_4,HC03_VC134_4
46,high,HC03_VC128_2,HC03_VC129_3,HC03_VC130_3,HC03_VC131_2,HC03_VC132_4,HC03_VC133_2,HC03_VC134_2
47,high,HC03_VC128_4,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_4,HC03_VC134_4
48,high,HC03_VC128_2,HC03_VC129_1,HC03_VC130_2,HC03_VC131_2,HC03_VC132_3,HC03_VC133_3,HC03_VC134_3
49,high,HC03_VC128_2,HC03_VC129_4,HC03_VC130_4,HC03_VC131_4,HC03_VC132_1,HC03_VC133_1,HC03_VC134_1
50,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_2,HC03_VC132_3,HC03_VC133_4,HC03_VC134_3
51,high,HC03_VC128_4,HC03_VC129_3,HC03_VC130_3,HC03_VC131_2,HC03_VC132_3,HC03_VC133_4,HC03_VC134_2
52,high,HC03_VC128_3,HC03_VC129_1,HC03_VC130_1,HC03_VC131_1,HC03_VC132_4,HC03_VC133_4,HC03_VC134_4
53,high,HC03_VC128_2,HC03_VC129_3,HC03_VC130_3,HC03_VC131_2,HC03_VC132_3,HC03_VC133_3,HC03_VC134_2
54,high,HC03_VC128_2,HC03_VC129_4,HC03_VC130_4,HC03_VC131_3,HC03_VC132_2,HC03_VC133_3,HC03_VC134_1
