,drug,HC03_VC166,HC03_VC167,HC03_VC168,HC03_VC170,HC03_VC171,HC03_VC172,HC03_VC173,HC03_VC174,HC03_VC175,HC03_VC176,HC03_VC177,HC03_VC178
0,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
1,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
2,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_2,HC03_VC170_3,HC03_VC171_3,HC03_VC172_3,HC03_VC173_2,HC03_VC174_1,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
3,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_3,HC03_VC172_2,HC03_VC173_1,HC03_VC174_1,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
4,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_3,HC03_VC171_4,HC03_VC172_3,HC03_VC173_3,HC03_VC174_2,HC03_VC175_3,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
5,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_2,HC03_VC172_2,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
6,high,HC03_VC166_3,HC03_VC167_3,HC03_VC168_2,HC03_VC170_1,HC03_VC171_2,HC03_VC172_2,HC03_VC173_1,HC03_VC174_1,HC03_VC175_3,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
7,high,HC03_VC166_2,HC03_VC167_1,HC03_VC168_3,HC03_VC170_3,HC03_VC171_4,HC03_VC172_3,HC03_VC173_3,HC03_VC174_2,HC03_VC175_2,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
8,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_3,HC03_VC174_2,HC03_VC175_2,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
9,high,HC03_VC166_4,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_2,HC03_VC172_1,HC03_VC173_2,HC03_VC174_1,HC03_VC175_1,HC03_VC176_3,HC03_VC177_1,HC03_VC178_2
10,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_4,HC03_VC174_2,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
11,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_3,HC03_VC173_3,HC03_VC174_2,HC03_VC175_4,HC03_VC176_3,HC03_VC177_1,HC03_VC178_1
12,high,HC03_VC166_2,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_1,HC03_VC172_2,HC03_VC173_3,HC03_VC174_2,HC03_VC175_3,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
13,high,HC03_VC166_3,HC03_VC167_3,HC03_VC168_2,HC03_VC170_1,HC03_VC171_2,HC03_VC172_1,HC03_VC173_3,HC03_VC174_2,HC03_VC175_1,HC03_VC176_1,HC03_VC177_2,HC03_VC178_2
14,high,HC03_VC166_3,HC03_VC167_3,HC03_VC168_2,HC03_VC170_3,HC03_VC171_1,HC03_VC172_2,HC03_VC173_3,HC03_VC174_3,HC03_VC175_2,HC03_VC176_2,HC03_VC177_2,HC03_VC178_1
15,high,HC03_VC166_1,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_2,HC03_VC172_2,HC03_VC173_2,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
16,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_4,HC03_VC174_3,HC03_VC175_2,HC03_VC176_1,HC03_VC177_2,HC03_VC178_2
17,high,HC03_VC166_2,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_4,HC03_VC172_3,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
18,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_4,HC03_VC174_3,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
19,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
20,high,HC03_VC166_3,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
