,drug,HC03_VC25,HC03_VC26,HC03_VC27,HC03_VC28,HC03_VC29,HC03_VC30,HC03_VC31
0,high,HC03_VC25_1,HC03_VC26_3,HC03_VC27_4,HC03_VC28_1,HC03_VC29_1,HC03_VC30_1,HC03_VC31_2
1,high,HC03_VC25_3,HC03_VC26_4,HC03_VC27_4,HC03_VC28_1,HC03_VC29_1,HC03_VC30_2,HC03_VC31_2
2,high,HC03_VC25_2,HC03_VC26_3,HC03_VC27_4,HC03_VC28_2,HC03_VC29_1,HC03_VC30_2,HC03_VC31_1
3,high,HC03_VC25_3,HC03_VC26_4,HC03_VC27_3,HC03_VC28_1,HC03_VC29_2,HC03_VC30_3,HC03_VC31_2
4,high,HC03_VC25_3,HC03_VC26_4,HC03_VC27_4,HC03_VC28_1,HC03_VC29_1,HC03_VC30_4,HC03_VC31_4
5,high,HC03_VC25_1,HC03_VC26_1,HC03_VC27_4,HC03_VC28_1,HC03_VC29_2,HC03_VC30_1,HC03_VC31_3
6,high,HC03_VC25_3,HC03_VC26_2,HC03_VC27_2,HC03_VC28_3,HC03_VC29_2,HC03_VC30_2,HC03_VC31_1
7,high,HC03_VC25_2,HC03_VC26_4,HC03_VC27_4,HC03_VC28_2,HC03_VC29_1,HC03_VC30_2,HC03_VC31_2
8,high,HC03_VC25_3,HC03_VC26_1,HC03_VC27_4,HC03_VC28_4,HC03_VC29_1,HC03_VC30_3,HC03_VC31_2
9,high,HC03_VC25_4,HC03_VC26_1,HC03_VC27_4,HC03_VC28_4,HC03_VC29_1,HC03_VC30_1,HC03_VC31_1
10,high,HC03_VC25_3,HC03_VC26_1,HC03_VC27_1,HC03_VC28_4,HC03_VC29_2,HC03_VC30_4,HC03_VC31_4
11,high,HC03_VC25_3,HC03_VC26_2,HC03_VC27_4,HC03_VC28_2,HC03_VC29_1,HC03_VC30_4,HC03_VC31_3
12,high,HC03_VC25_2,HC03_VC26_3,HC03_VC27_2,HC03_VC28_2,HC03_VC29_3,HC03_VC30_2,HC03_VC31_2
