,drug,HC03_VC130,HC03_VC131,HC03_VC132,HC03_VC133,HC03_VC134,HC03_VC135,HC03_VC136,HC03_VC140,HC03_VC141,HC03_VC142
0,high,HC03_VC130_4,HC03_VC131_3,HC03_VC132_3,HC03_VC133_3,HC03_VC134_2,HC03_VC135_1,HC03_VC136_1,HC03_VC140_2,HC03_VC141_2,HC03_VC142_3
1,high,HC03_VC130_1,HC03_VC131_4,HC03_VC132_4,HC03_VC133_3,HC03_VC134_2,HC03_VC135_2,HC03_VC136_1,HC03_VC140_1,HC03_VC141_3,HC03_VC142_2
2,high,HC03_VC130_3,HC03_VC131_1,HC03_VC132_1,HC03_VC133_2,HC03_VC134_3,HC03_VC135_3,HC03_VC136_4,HC03_VC140_4,HC03_VC141_3,HC03_VC142_2
3,high,HC03_VC130_1,HC03_VC131_4,HC03_VC132_4,HC03_VC133_2,HC03_VC134_4,HC03_VC135_2,HC03_VC136_1,HC03_VC140_1,HC03_VC141_1,HC03_VC142_3
4,high,HC03_VC130_4,HC03_VC131_3,HC03_VC132_3,HC03_VC133_3,HC03_VC134_1,HC03_VC135_4,HC03_VC136_1,HC03_VC140_3,HC03_VC141_4,HC03_VC142_1
5,high,HC03_VC130_3,HC03_VC131_2,HC03_VC132_2,HC03_VC133_2,HC03_VC134_3,HC03_VC135_3,HC03_VC136_3,HC03_VC140_3,HC03_VC141_4,HC03_VC142_1
6,high,HC03_VC130_2,HC03_VC131_1,HC03_VC132_2,HC03_VC133_1,HC03_VC134_3,HC03_VC135_2,HC03_VC136_4,HC03_VC140_3,HC03_VC141_1,HC03_VC142_4
7,high,HC03_VC130_2,HC03_VC131_1,HC03_VC132_1,HC03_VC133_4,HC03_VC134_1,HC03_VC135_3,HC03_VC136_4,HC03_VC140_3,HC03_VC141_4,HC03_VC142_1
8,high,HC03_VC130_4,HC03_VC131_1,HC03_VC132_1,HC03_VC133_1,HC03_VC134_3,HC03_VC135_4,HC03_VC136_4,HC03_VC140_4,HC03_VC141_4,HC03_VC142_1
9,high,HC03_VC130_2,HC03_VC131_3,HC03_VC132_3,HC03_VC133_1,HC03_VC134_4,HC03_VC135_3,HC03_VC136_2,HC03_VC140_2,HC03_VC141_2,HC03_VC142_2
10,high,HC03_VC130_1,HC03_VC131_4,HC03_VC132_4,HC03_VC133_3,HC03_VC134_3,HC03_VC135_1,HC03_VC136_1,HC03_VC140_1,HC03_VC141_1,HC03_VC142_4
11,high,HC03_VC130_3,HC03_VC131_2,HC03_VC132_2,HC03_VC133_2,HC03_VC134_3,HC03_VC135_3,HC03_VC136_3,HC03_VC140_3,HC03_VC141_4,HC03_VC142_1
12,high,HC03_VC130_2,HC03_VC131_2,HC03_VC132_1,HC03_VC133_1,HC03_VC134_3,HC03_VC135_4,HC03_VC136_3,HC03_VC140_3,HC03_VC141_3,HC03_VC142_2
13,high,HC03_VC130_3,HC03_VC131_2,HC03_VC132_1,HC03_VC133_1,HC03_VC134_4,HC03_VC135_4,HC03_VC136_3,HC03_VC140_3,HC03_VC141_1,HC03_VC142_4
14,high,HC03_VC130_3,HC03_VC131_1,HC03_VC132_1,HC03_VC133_3,HC03_VC134_1,HC03_VC135_4,HC03_VC136_3,HC03_VC140_3,HC03_VC141_2,HC03_VC142_3
15,high,HC03_VC130_3,HC03_VC131_3,HC03_VC132_3,HC03_VC133_3,HC03_VC134_1,HC03_VC135_1,HC03_VC136_2,HC03_VC140_2,HC03_VC141_1,HC03_VC142_4
16,high,HC03_VC130_3,HC03_VC131_1,HC03_VC132_1,HC03_VC133_4,HC03_VC134_1,HC03_VC135_4,HC03_VC136_3,HC03_VC140_3,HC03_VC141_2,HC03_VC142_3
17,high,HC03_VC130_1,HC03_VC131_4,HC03_VC132_4,HC03_VC133_3,HC03_VC134_2,HC03_VC135_1,HC03_VC136_1,HC03_VC140_1,HC03_VC141_2,HC03_VC142_3
18,high,HC03_VC130_4,HC03_VC131_1,HC03_VC132_1,HC03_VC133_4,HC03_VC134_1,HC03_VC135_4,HC03_VC136_4,HC03_VC140_4,HC03_VC141_4,HC03_VC142_1
19,high,HC03_VC130_3,HC03_VC131_2,HC03_VC132_2,HC03_VC133_2,HC03_VC134_3,HC03_VC135_4,HC03_VC136_3,HC03_VC140_3,HC03_VC141_4,HC03_VC142_1
20,high,HC03_VC130_3,HC03_VC131_1,HC03_VC132_1,HC03_VC133_1,HC03_VC134_3,HC03_VC135_4,HC03_VC136_4,HC03_VC140_4,HC03_VC141_1,HC03_VC142_4
21,high,HC03_VC130_4,HC03_VC131_2,HC03_VC132_2,HC03_VC133_4,HC03_VC134_1,HC03_VC135_4,HC03_VC136_2,HC03_VC140_4,HC03_VC141_4,HC03_VC142_1
22,high,HC03_VC130_4,HC03_VC131_2,HC03_VC132_2,HC03_VC133_3,HC03_VC134_2,HC03_VC135_3,HC03_VC136_3,HC03_VC140_3,HC03_VC141_3,HC03_VC142_1
23,high,HC03_VC130_3,HC03_VC131_1,HC03_VC132_1,HC03_VC133_2,HC03_VC134_2,HC03_VC135_4,HC03_VC136_3,HC03_VC140_3,HC03_VC141_1,HC03_VC142_4
24,high,HC03_VC130_2,HC03_VC131_3,HC03_VC132_3,HC03_VC133_2,HC03_VC134_2,HC03_VC135_2,HC03_VC136_2,HC03_VC140_2,HC03_VC141_1,HC03_VC142_4
25,high,HC03_VC130_3,HC03_VC131_2,HC03_VC132_2,HC03_VC133_1,HC03_VC134_4,HC03_VC135_4,HC03_VC136_2,HC03_VC140_3,HC03_VC141_3,HC03_VC142_1
26,high,HC03_VC130_2,HC03_VC131_2,HC03_VC132_2,HC03_VC133_1,HC03_VC134_4,HC03_VC135_2,HC03_VC136_3,HC03_VC140_3,HC03_VC141_1,HC03_VC142_3
27,high,HC03_VC130_3,HC03_VC131_2,HC03_VC132_2,HC03_VC133_4,HC03_VC134_1,HC03_VC135_3,HC03_VC136_3,HC03_VC140_3,HC03_VC141_4,HC03_VC142_1
28,high,HC03_VC130_4,HC03_VC131_1,HC03_VC132_1,HC03_VC133_3,HC03_VC134_1,HC03_VC135_2,HC03_VC136_4,HC03_VC140_4,HC03_VC141_3,HC03_VC142_2
29,high,HC03_VC130_2,HC03_VC131_2,HC03_VC132_2,HC03_VC133_3,HC03_VC134_2,HC03_VC135_2,HC03_VC136_3,HC03_VC140_3,HC03_VC141_1,HC03_VC142_3
30,high,HC03_VC130_1,HC03_VC131_3,HC03_VC132_3,HC03_VC133_1,HC03_VC134_3,HC03_VC135_2,HC03_VC136_2,HC03_VC140_1,HC03_VC141_1,HC03_VC142_3
31,high,HC03_VC130_4,HC03_VC131_3,HC03_VC132_2,HC03_VC133_3,HC03_VC134_1,HC03_VC135_2,HC03_VC136_2,HC03_VC140_3,HC03_VC141_4,HC03_VC142_1
32,high,HC03_VC130_1,HC03_VC131_3,HC03_VC132_3,HC03_VC133_1,HC03_VC134_4,HC03_VC135_3,HC03_VC136_2,HC03_VC140_1,HC03_VC141_1,HC03_VC142_3
33,high,HC03_VC130_2,HC03_VC131_2,HC03_VC132_2,HC03_VC133_2,HC03_VC134_2,HC03_VC135_3,HC03_VC136_3,HC03_VC140_3,HC03_VC141_3,HC03_VC142_1
34,high,HC03_VC130_1,HC03_VC131_4,HC03_VC132_4,HC03_VC133_4,HC03_VC134_1,HC03_VC135_1,HC03_VC136_1,HC03_VC140_1,HC03_VC141_4,HC03_VC142_1
35,high,HC03_VC130_1,HC03_VC131_4,HC03_VC132_4,HC03_VC133_3,HC03_VC134_4,HC03_VC135_1,HC03_VC136_1,HC03_VC140_1,HC03_VC141_2,HC03_VC142_3
